person_id,GP,PTS,FG_PCT,FG3_PCT,FT_PCT,REB,AST,STL,BLK,from_year,to_year
1630560,169.0,13.419836490064299,0.43766666666666665,0.33899999999999997,0.8453333333333334,2.2972913211719184,1.710866719036397,0.5255826132495417,0.1696255564283844,2021,2023
1630561,45.0,4.211462450592886,0.4115,0.163,0.758,2.1531620553359683,0.842885375494071,0.5355731225296443,0.1808300395256917,2021,2023
1630562,3.0,5.666666666666667,0.333,0.2,1.0,2.0,1.0,0.0,0.3333333333333333,2023,2023
1630563,55.0,4.92,0.4066666666666667,0.18566666666666665,0.508,1.8366666666666667,2.04,0.21666666666666667,0.6533333333333333,2021,2023
1630564,1.0,16.0,0.5,0.4,1.0,9.0,7.0,0.0,1.0,2022,2022
1630565,6.0,0.3333333333333333,0.2,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,2021,2021
1630567,206.0,16.896852696852697,0.4736666666666666,0.3116666666666667,0.762,7.44061074061074,4.747092547092547,1.125728325728326,0.9966654966654968,2021,2023
1630568,73.0,4.938415750915751,0.47733333333333333,0.3396666666666666,0.6926666666666668,2.0737179487179485,0.4739010989010988,0.12946428571428573,0.0863095238095238,2021,2023
1630570,148.0,6.986747783437088,0.5446666666666667,0.33666666666666667,0.7823333333333333,3.556251179022826,1.7438808715336729,0.4772330692322204,0.33790794189775514,2021,2023
1630572,157.0,5.111229712113523,0.42160000000000003,0.30460000000000004,0.7133999999999999,3.4383598531211748,1.1932330258431105,0.27428187598889453,0.2684006030390781,2021,2023
1630573,160.0,5.670370370370371,0.4526666666666667,0.4206666666666667,0.5293333333333333,2.3390788224121555,0.7450261158594492,0.2694563152896486,0.19338793922127254,2021,2023
1630575,2.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,2021,2021
1630577,82.0,6.6191789215686265,0.32825000000000004,0.29425,0.6174999999999999,2.4917279411764706,0.5845588235294117,0.4424019607843137,0.29227941176470584,2022,2023
1630578,200.0,15.189196366177498,0.5226666666666667,0.2913333333333333,0.7113333333333333,7.86422431865828,3.8290600978336826,0.961617749825297,0.8712089447938505,2021,2023
1630579,121.0,2.5393996247654784,0.7373333333333333,0.0,0.588,3.7705038863575453,0.4381309747163406,0.22129902617707495,0.4773965871526847,2021,2023
1630580,38.0,1.5517241379310345,0.2855,0.28800000000000003,0.269,0.46360153256704983,0.3218390804597701,0.06896551724137931,0.05172413793103448,2021,2022
1630581,183.0,13.50441967952726,0.44933333333333336,0.30433333333333334,0.757,7.26369426361151,5.68979182757733,0.7786512928022362,0.4292330231588755,2021,2023
1630582,12.0,1.0833333333333333,0.313,0.333,0.0,1.0,0.08333333333333333,0.08333333333333333,0.3333333333333333,2021,2021
1630583,153.0,7.850108225108225,0.43366666666666664,0.27399999999999997,0.6573333333333333,4.360795454545454,1.3735119047619049,0.4770021645021645,0.5392316017316018,2021,2023
1630585,12.0,1.0833333333333333,0.238,0.25,0.4,1.9166666666666667,0.5833333333333334,0.4166666666666667,0.25,2021,2021
1630586,101.0,1.6666666666666667,0.306,0.219,0.44366666666666665,2.5172222222222227,0.6872222222222222,0.5011111111111112,0.2816666666666667,2021,2023
1630587,94.0,5.992929648536055,0.40599999999999997,0.35766666666666663,0.7816666666666666,2.6123188405797104,0.993560406031802,0.5959631520272253,0.3747579651469812,2021,2023
1630589,8.0,0.9722222222222223,0.16666666666666666,0.0,0.6666666666666666,0.5833333333333334,0.611111111111111,0.0,0.19444444444444442,2021,2021
1630590,14.0,6.416666666666667,0.404,0.44899999999999995,0.635,2.0208333333333335,2.4166666666666665,0.6666666666666666,0.3333333333333333,2022,2023
1630591,151.0,11.325597484276729,0.4083333333333334,0.30833333333333335,0.7520000000000001,3.306745283018868,3.232898322851153,1.297772536687631,0.4950890985324947,2021,2023
1630592,16.0,5.5,0.5,0.524,0.895,2.625,1.25,0.3125,0.0625,2023,2023
1630593,32.0,2.611111111111111,0.5680000000000001,0.4105,0.342,0.8703703703703703,1.3740740740740742,0.14814814814814814,0.09259259259259259,2021,2022
1630595,120.0,19.751578282828287,0.42566666666666664,0.3093333333333333,0.8463333333333333,5.255366161616162,6.339015151515151,0.9946338383838383,0.5396148989898991,2021,2023
1630596,178.0,15.650021402800709,0.5496666666666666,0.29433333333333334,0.6986666666666667,9.153623188405797,2.7190607228031554,0.8014737357059868,1.5465541490857948,2021,2023
1630598,171.0,7.1065732959850605,0.5193333333333333,0.4053333333333334,0.77,2.9644444444444447,1.1480112044817927,0.5491129785247432,0.1773109243697479,2021,2023
1630600,15.0,2.125,0.4645,0.4375,0.5,1.1666666666666667,0.7916666666666666,0.3333333333333333,0.125,2022,2023
1630602,10.0,5.622222222222223,0.272,0.24433333333333337,0.5553333333333333,2.9555555555555557,0.7111111111111111,0.35555555555555557,0.0,2021,2021
1630604,8.0,0.5,0.167,0.0,1.0,0.625,0.125,0.25,0.25,2022,2023
1630605,4.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2021,2021
1630606,35.0,2.5961538461538463,0.261,0.2405,0.4165,1.0308257918552037,0.629524886877828,0.290158371040724,0.145079185520362,2021,2023
1630608,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,2023
1630610,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2021
1630611,12.0,4.0,0.469,0.308,0.933,2.6666666666666665,0.5833333333333334,0.25,0.16666666666666666,2023,2023
1630612,14.0,1.0714285714285714,0.333,0.0,0.75,0.5,0.8571428571428571,0.07142857142857142,0.0,2021,2021
1630613,79.0,8.862567204301076,0.386,0.3685,0.7105,1.445228494623656,1.901545698924731,0.3676075268817204,0.09576612903225806,2021,2023
1630620,4.0,3.75,0.417,0.3,1.0,1.5,0.25,0.0,0.25,2022,2022
1630624,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,2021,2021
1630625,149.0,4.808605884109916,0.3938,0.22679999999999997,0.7018,1.969489247311828,1.2851515830346476,0.47229689366786143,0.16234318996415772,2021,2023
